SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
503162,REL.CHEMOTX ,X ,Q,69.50,71.00,69.30,71.00,71.00,71.85,14,649,45858.00,
503169,RUBY MILLS  ,B ,Q,290.00,298.00,276.20,281.20,281.20,288.75,108,1908,545399.00,
503229,SIMPLEX REAL,X ,Q,58.20,58.20,58.20,58.20,58.20,61.00,1,50,2910.00,
503310,SWAN ENG    ,A ,Q,97.00,98.00,95.25,96.05,96.05,96.95,1522,136937,13241485.00,
503349,VICTORIA MIL,X ,Q,2421.00,2499.00,2403.00,2415.60,2403.00,2529.45,24,48,116859.00,
503624,SVARAJ TRAD ,XT,Q,165.50,165.75,163.90,164.00,163.90,167.50,15,40700,6691700.00,
503637,DHANLEELA   ,X ,Q,27.45,27.45,27.45,27.45,27.45,27.00,1,1,27.00,
503657,VEER ENERGY ,X ,Q,11.70,11.70,10.81,11.00,10.88,11.70,73,4374,48223.00,
503659,SWIL        ,XT,Q,18.95,20.00,18.95,19.00,19.00,19.90,7,2302,44362.00,
503722,BANSW.SYNTEX,B ,Q,66.05,73.85,64.05,67.80,67.80,68.10,13,952,63236.00,
503772,MODELLA WOOL,X ,Q,9.95,9.95,9.95,9.95,9.95,9.95,1,10,99.00,
503804,SHRI DINESH ,X ,Q,130.00,130.00,130.00,130.00,130.00,130.65,1,10,1300.00,
503806,SRF LIMITED ,A ,Q,1960.00,1988.70,1951.00,1966.35,1961.00,1969.05,675,15785,31081182.00,
503811,SIYARAM SILK,B ,Q,340.00,343.00,340.00,340.00,340.00,340.00,13,216,73522.00,
503831,FOMENTO HOTE,X ,Q,118.90,118.90,118.90,118.90,118.90,113.25,2,600,71340.00,
503960,BHARAT BIJLE,B ,Q,1110.65,1110.65,1082.25,1083.05,1084.50,1110.65,36,188,204981.00,
504000,ELPRO INTER ,X ,Q,50.40,50.40,49.00,50.10,50.10,50.30,23,101640,5105854.00,
504008,EMCO LTD.   ,B ,Q,4.90,4.90,4.62,4.80,4.80,4.70,20,3354,16024.00,
504028,GEE LTD     ,X ,Q,28.10,28.10,27.05,28.00,28.00,28.40,26,3982,108990.00,
504036,HIND.RECT   ,B ,Q,109.50,109.90,105.00,105.35,105.35,108.05,27,4576,486501.00,
504058,NIPPOBATRY  ,B ,Q,662.00,675.00,660.00,663.00,663.00,681.20,12,577,381985.00,
504067,ZENSAR TECH.,B ,Q,220.25,227.25,220.25,222.25,221.50,226.10,106,1178,263204.00,
504076,JYOTI LTD.  ,X ,Q,11.31,12.49,10.10,11.09,11.00,11.83,29,1876,21020.00,
504084,KAYCEE IND  ,X ,Q,3200.00,3390.00,3179.90,3390.00,3390.00,3270.00,5,12,38549.00,
504092,INDOKEM LTD.,X ,Q,13.50,13.50,13.02,13.50,13.50,13.70,9,401,5278.00,
504093,PANA ENERG  ,X ,Q,221.00,225.50,215.10,217.45,217.00,221.95,40,1206,262153.00,
504112,NELCO LTD.  ,B ,Q,234.80,234.95,226.15,226.60,226.15,238.05,599,18331,4207730.00,
504132,PERM MAGNETS,X ,Q,173.95,174.00,166.00,167.45,168.95,176.70,74,4241,720716.00,
504176,HIGH ENERGY ,X ,Q,280.00,287.00,253.60,287.00,287.00,270.00,6,96,26571.00,
504180,STD.BATTERY ,X ,Q,8.35,8.35,8.35,8.35,8.35,8.45,1,2,16.00,
504212,UNIV.CABLE  ,B ,Q,247.00,249.15,237.40,239.15,244.90,250.45,267,13704,3331406.00,
504220,W.S.INDUSTR.,T ,Q,2.37,2.39,2.34,2.34,2.34,2.46,16,6150,14505.00,
504258,LAKSHMI ELEC,X ,Q,512.50,518.90,491.05,511.30,507.00,511.35,61,1196,608291.00,
504286,DELTA MAG   ,B ,Q,69.50,69.50,69.00,69.20,69.00,71.75,5,379,26226.00,
504335,PAZEL       ,X ,Q,1.16,1.17,1.16,1.16,1.16,1.16,109,1445000,1677200.00,
504340,CONFINT     ,X ,Q,0.70,0.70,0.70,0.70,0.70,0.70,3,1000,700.00,
504341,RELTD       ,X ,Q,33.00,33.00,33.00,33.00,33.00,33.30,2,450,14850.00,
504351,EMPOWER     ,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,100,19.00,
504392,KRISHNA VEN ,XT,Q,5.08,5.08,5.08,5.08,5.08,4.99,3,13100,66548.00,
504614,SARDA ENMIN ,B ,Q,265.10,277.00,255.15,258.10,258.10,241.80,1419,48526,12929065.00,
504646,BHAGWATI AUT,X ,Q,119.10,119.25,119.10,119.25,119.25,127.90,2,110,13102.00,
504697,GALADA TELE.,X ,Q,2.55,2.55,2.55,2.55,2.55,2.60,1,499,1272.00,
504713,HIND.WIR LTD,X ,Q,40.00,40.00,37.00,37.00,37.00,38.75,4,107,4262.00,
504741,IND.HUME PIP,B ,Q,324.00,329.95,316.00,319.80,320.00,321.60,77,472,152676.00,
504786,INVEST &PREC,X ,Q,315.00,315.00,300.00,308.00,308.00,300.05,25,3153,950851.00,
504879,ORIENT ABRAS,B ,Q,24.40,25.00,24.10,24.60,24.95,24.05,29,4730,115888.00,
504918,SANDUR MANG.,X ,Q,1069.00,1093.90,965.00,996.60,996.60,1013.10,304,3947,3943460.00,
504959,STOVAC IND. ,X ,Q,2450.00,2450.00,2386.00,2419.40,2386.00,2468.00,32,257,622536.00,
504961,TATA YODOGAW,X ,Q,40.00,40.00,39.90,40.00,40.00,40.00,10,599,23920.00,
504966,TINPLATE    ,B ,Q,138.10,138.65,136.00,136.90,136.40,140.00,422,22945,3148819.00,
504973,TIFHL       ,A ,Q,452.50,465.00,440.00,451.35,457.05,459.25,65,612,274292.00,
505010,AUTO AXLES  ,B ,Q,1221.80,1222.00,1150.00,1157.30,1160.00,1206.75,259,1553,1821122.00,
505029,ATLAS CYCLES,T ,Q,77.35,77.35,70.55,74.30,74.30,74.25,26,1987,143646.00,
505036,AUTO COR.GOA,X ,Q,561.25,579.90,560.00,576.90,576.95,564.80,35,411,233602.00,
505075,SETCO AUTO  ,B ,Q,30.55,31.15,30.30,30.70,30.50,31.15,225,31518,973419.00,
505141,SCOOTERS IND,T ,Q,32.00,33.00,32.00,32.00,32.00,33.60,3,503,16097.00,
505160,TALBROS AUTO,B ,Q,201.00,201.00,197.10,198.95,199.00,206.25,12,214,42421.00,
505163,ZF STEERING ,X ,Q,710.00,732.50,696.00,702.40,702.40,718.55,146,3037,2176322.00,
505192,SMLISUZU    ,B ,Q,590.05,593.30,584.75,585.20,584.75,592.10,109,1123,658395.00,
505196,TIL LTD.    ,B ,Q,235.00,235.00,224.00,225.80,230.00,232.45,96,343,79161.00,
505200,EICHER MOTOR,A ,Q,19778.80,20460.35,19467.20,20157.55,20157.55,19603.55,2630,6988,140114213.00,
505216,ALFRED HERB ,X ,Q,730.00,730.00,730.00,730.00,730.00,717.00,2,100,73000.00,
505230,CIMMCO      ,B ,Q,32.00,36.00,29.75,34.00,33.10,32.05,50,4570,153646.00,
505232,VELJAN      ,X ,Q,759.00,765.00,742.00,762.80,765.00,756.80,12,71,53571.00,
505242,DYNAMAT.TECH,B ,Q,1399.95,1400.00,1380.00,1390.00,1380.00,1353.60,6,6,8340.00,
505255,GMM PFAUDLER,B ,Q,1096.05,1110.00,1072.10,1083.30,1073.65,1103.40,74,389,425183.00,
505283,KIRLOSAR PN ,B ,Q,169.00,174.50,163.00,169.60,169.80,169.20,94,9171,1521798.00,
505299,KULK-POWER  ,X ,Q,59.00,59.75,56.90,56.90,56.90,58.05,17,4200,242297.00,
505302,LAXMI AUTOLM,XT,Q,46.40,46.40,46.40,46.40,46.40,48.80,1,100,4640.00,
